# user: test #
SW,63548192989865,UserInterfaceCapturer (Running) - Microsoft Visual Studio
MOV,63548192990370,None,574,201
MOV,63548192990372,None,561,201
MOV,63548192990376,None,544,205
MOV,63548192990385,None,526,207
MOV,63548192990393,None,507,213
MOV,63548192990401,None,487,220
MOV,63548192990409,None,473,221
MOV,63548192990417,None,457,226
MOV,63548192990424,None,444,228
MOV,63548192990433,None,433,231
MOV,63548192990440,None,423,236
MOV,63548192990448,None,415,237
MOV,63548192990456,None,407,238
MOV,63548192990464,None,400,239
MOV,63548192990472,None,396,239
MOV,63548192990481,None,391,240
MOV,63548192990489,None,389,240
MOV,63548192990497,None,388,240
MOV,63548192990585,None,389,240
MOV,63548192990592,None,394,240
MOV,63548192990601,None,397,240
MOV,63548192990609,None,406,237
MOV,63548192990617,None,417,236
MOV,63548192990625,None,429,233
MOV,63548192990633,None,444,230
MOV,63548192990641,None,459,227
MOV,63548192990649,None,475,224
MOV,63548192990657,None,489,222
MOV,63548192990665,None,507,217
MOV,63548192990673,None,526,215
MOV,63548192990681,None,550,211
MOV,63548192990689,None,570,209
MOV,63548192990697,None,598,208
MOV,63548192990704,None,623,206
MOV,63548192990713,None,654,203
MOV,63548192990721,None,673,203
MOV,63548192990729,None,692,203
MOV,63548192990737,None,714,203
MOV,63548192990745,None,735,205
MOV,63548192990753,None,752,206
MOV,63548192990761,None,770,210
MOV,63548192990768,None,784,211
MOV,63548192990776,None,793,213
MOV,63548192990785,None,811,218
MOV,63548192990793,None,825,223
MOV,63548192990801,None,844,229
MOV,63548192990809,None,865,233
MOV,63548192990817,None,875,238
MOV,63548192990825,None,887,243
MOV,63548192990832,None,906,252
MOV,63548192990841,None,927,264
MOV,63548192990849,None,951,277
MOV,63548192990857,None,969,285
MOV,63548192990865,None,994,296
MOV,63548192990873,None,1016,312
MOV,63548192990881,None,1040,326
MOV,63548192990888,None,1072,344
MOV,63548192990896,None,1103,358
MOV,63548192990914,None,1130,373
MOV,63548192990917,None,1161,387
MOV,63548192990921,None,1184,396
MOV,63548192990940,None,1209,405
MOV,63548192990942,None,1230,415
MOV,63548192990945,None,1252,423
MOV,63548192990953,None,1273,427
MOV,63548192990961,None,1289,431
MOV,63548192990969,None,1303,435
MOV,63548192990977,None,1318,438
MOV,63548192990985,None,1332,441
MOV,63548192990993,None,1345,443
MOV,63548192991001,None,1356,446
MOV,63548192991009,None,1366,447
MOV,63548192991017,None,1375,448
MOV,63548192991025,None,1384,449
