# user: test #
SW,63548192920262,UserInterfaceCapturer (Running) - Microsoft Visual Studio
MOV,63548192920755,None,510,118
MOV,63548192920757,None,509,118
MOV,63548192920761,None,506,120
MOV,63548192920769,None,503,122
MOV,63548192920778,None,501,125
MOV,63548192920785,None,499,127
MOV,63548192920793,None,497,128
MOV,63548192920801,None,495,131
MOV,63548192920809,None,493,132
MOV,63548192920817,None,492,133
MOV,63548192920825,None,489,135
MOV,63548192920833,None,488,136
MOV,63548192920841,None,487,138
MOV,63548192920849,None,485,140
MOV,63548192920857,None,484,142
MOV,63548192920865,None,480,146
MOV,63548192920873,None,479,147
MOV,63548192920881,None,476,151
MOV,63548192920890,None,473,152
MOV,63548192920897,None,471,155
MOV,63548192920905,None,468,156
MOV,63548192920913,None,464,158
MOV,63548192920921,None,464,158
MOV,63548192920929,None,462,159
MOV,63548192921146,None,465,162
MOV,63548192921153,None,472,164
MOV,63548192921161,None,488,167
MOV,63548192921169,None,515,175
MOV,63548192921177,None,546,178
MOV,63548192921185,None,598,184
MOV,63548192921193,None,640,186
MOV,63548192921201,None,678,186
MOV,63548192921209,None,708,186
MOV,63548192921217,None,739,184
MOV,63548192921225,None,758,183
MOV,63548192921233,None,780,178
MOV,63548192921241,None,801,178
MOV,63548192921249,None,821,178
MOV,63548192921257,None,848,178
MOV,63548192921265,None,875,178
MOV,63548192921273,None,896,182
MOV,63548192921281,None,915,187
MOV,63548192921289,None,936,196
MOV,63548192921297,None,957,208
MOV,63548192921305,None,974,220
MOV,63548192921314,None,996,236
MOV,63548192921321,None,1009,249
MOV,63548192921329,None,1015,260
MOV,63548192921337,None,1028,276
MOV,63548192921345,None,1042,295
MOV,63548192921353,None,1053,310
MOV,63548192921361,None,1065,328
MOV,63548192921369,None,1077,347
MOV,63548192921377,None,1085,365
MOV,63548192921396,None,1093,383
MOV,63548192921398,None,1098,399
MOV,63548192921401,None,1105,419
MOV,63548192921409,None,1110,436
MOV,63548192921417,None,1116,455
MOV,63548192921425,None,1119,468
MOV,63548192921433,None,1124,484
MOV,63548192921441,None,1125,497
MOV,63548192921449,None,1128,506
MOV,63548192921457,None,1130,515
MOV,63548192921465,None,1130,521
MOV,63548192921473,None,1130,524
MOV,63548192921481,None,1130,524
MOV,63548192921489,None,1130,526
MOV,63548192921537,None,1128,526
MOV,63548192921546,None,1123,525
MOV,63548192921553,None,1112,524
MOV,63548192921561,None,1099,524
MOV,63548192921569,None,1085,524
MOV,63548192921577,None,1073,524
MOV,63548192921586,None,1060,522
